Região,Código da Região,Unidade da Federação,Sigla da Unidade da Federação,Código da Unidade da Federação,Município,Código do Múnicipio,Está em Uma Capital,pk_localização_geográfica
Nordeste,2,Cear ,CE,23,Croat ,2304236,Não está na capital,1234
Norte,1,Rond nia,RO,11,Seringueiras,1101500,Não está na capital,1235
Sul,4,Paran ,PR,41,Clevel ndia,4105706,Não está na capital,1236
Sudeste,3,S o Paulo,SP,35,Presidente Venceslau,3541505,Não está na capital,1237
Nordeste,2,Pernambuco,PE,26,S o Jos  do Egito,2613602,Não está na capital,1238
Sudeste,3,Minas Gerais,MG,31,Bert polis,3106606,Não está na capital,1239
Sudeste,3,S o Paulo,SP,35,Ribeir o Pires,3543303,Não está na capital,1240
Centro-Oeste,5,Mato Grosso,MT,51,Matup ,5105606,Não está na capital,1241
Nordeste,2,Para ba,PB,25,Sum ,2516300,Não está na capital,1242
Nordeste,2,Para ba,PB,25,S o Bento,2513901,Não está na capital,1243
Norte,1,Par ,PA,15,Ouril ndia do Norte,1505437,Não está na capital,1244
Sudeste,3,S o Paulo,SP,35,Itatiba,3523404,Não está na capital,1245
Nordeste,2,Cear ,CE,23,Eus bio,2304285,Não está na capital,1246
Nordeste,2,Bahia,BA,29,Irar ,2914505,Não está na capital,1247
Norte,1,Amazonas,AM,13,Tef ,1304203,Não está na capital,1248
Nordeste,2,Rio Grande do Norte,RN,24,S o Miguel,2412500,Não está na capital,1249
Nordeste,2,Cear ,CE,23,Canind ,2302800,Não está na capital,1250
Norte,1,Par ,PA,15,Xinguara,1508407,Não está na capital,1251
Sudeste,3,S o Paulo,SP,35,Cerquilho,3511508,Não está na capital,1252
Sudeste,3,Rio de Janeiro,RJ,33,Maric ,3302700,Não está na capital,1253
Nordeste,2,Cear ,CE,23,Itapipoca,2306405,Não está na capital,1254
Nordeste,2,Maranh o,MA,21,Presidente Dutra,2109106,Não está na capital,1255
Centro-Oeste,5,Goi s,GO,52,Pontalina,5217708,Não está na capital,1256
Sudeste,3,S o Paulo,SP,35,Embu das Artes,3515004,Não está na capital,1257
Sudeste,3,S o Paulo,SP,35,Ferraz de Vasconcelos,3515707,Não está na capital,1258
Sudeste,3,S o Paulo,SP,35,Franco da Rocha,3516408,Não está na capital,1259
Sudeste,3,Rio de Janeiro,RJ,33,S o Jo o de Meriti,3305109,Não está na capital,1260
Nordeste,2,Piau ,PI,22,Uru u ,2211209,Não está na capital,1261
Nordeste,2,Pernambuco,PE,26,Floresta,2605707,Não está na capital,1262
Nordeste,2,Cear ,CE,23,Camocim,2302602,Não está na capital,1263
Nordeste,2,Cear ,CE,23,Ipu,2305803,Não está na capital,1264
Centro-Oeste,5,Goi s,GO,52,Santa Terezinha de Goi s,5219704,Não está na capital,1265
Nordeste,2,Cear ,CE,23,Guai ba,2304954,Não está na capital,1266
Sudeste,3,Rio de Janeiro,RJ,33,Itagua ,3302007,Não está na capital,1267
Sul,4,Paran ,PR,41,Irati,4110706,Não está na capital,1268
Nordeste,2,Pernambuco,PE,26,Bezerros,2601904,Não está na capital,1269
Nordeste,2,Bahia,BA,29,Ibicara ,2912103,Não está na capital,1270
Norte,1,Par ,PA,15,Bragan a,1501709,Não está na capital,1271
Centro-Oeste,5,Goi s,GO,52,Cidade Ocidental,5205497,Não está na capital,1272
Nordeste,2,Cear ,CE,23,Parambu,2310308,Não está na capital,1273
Nordeste,2,Bahia,BA,29,Amargosa,2901007,Não está na capital,1274
Sul,4,Paran ,PR,41,Bandeirantes,4102406,Não está na capital,1275
Centro-Oeste,5,Mato Grosso,MT,51, gua Boa,5100201,Não está na capital,1276
